NEIGHBORHOOD,SUMMARY
Sheraden,Animal neglect
Sheraden,Harboring nuisance animal
Sheraden,Dog tethering
South Side Flats,Trespassing defecation/urination
South Side Flats,Public drunkenness
South Side Flats,Obstructing passage
Central Business District,Public drunkenness
Central Business District,Public drunkenness
,Indecent public excretion
South Side Flats,Public drunkenness
East Hills,Harassment
South Side Flats,Criminal Trespass
Stanton Heights,Marijuana possession
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
South Side Flats,Underage liquor
South Side Flats,Public drunkenness
Northview Heights,Marijuana possession
Crafton Heights,Harassment
East Hills,Harassment
Bluff,Public urination/defecation
South Side Flats,Public drunkenness
East Allegheny,Obstructing passage
Crawford-Roberts,Marijuana possession
Central Oakland,Public urination/defecation
Central Business District,Criminal Trespass
Spring Hill-City View,Public drunkenness
Allegheny West,Public drunkenness
Central Business District,Criminal Mischief
,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Central North Side,Marijuana possession
East Allegheny,Actual Communication
Hays,Public drunkenness
South Side Flats,Indecent public urination/defecation
South Side Flats,Interference with official duties
South Side Flats,Fighting disorderly conduct
Central Business District,Disorderly Conduct - Unreasonable Noise
South Side Flats,Fighting (Disorderly Conduct)
Knoxville,Obstructing passage
South Side Flats,Obstructing passage
South Side Flats,Interference with duties
South Side Flats,Public drunkenness
Central Business District,Indecent public act
Squirrel Hill North,Unreasonable noise disorderly conduct
South Side Flats,Fighting in disorderly conduct
South Side Flats,Fighting disorderly conduct
Larimer,Marijuana possession
South Side Flats,Threatening trespass
Squirrel Hill North,Marijuana possession
South Side Flats,Public drunkenness
Strip District,Harassment
Homewood South,Public drunkenness
South Side Flats,Marijuana possession
Knoxville,Criminal Mischief
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central North Side,Interference with official duties
South Side Flats,Public drunkenness
Chateau,Retail Theft
South Side Flats,Fighting disorderly conduct
Knoxville,Public drunkenness
Strip District,Nail on utility pole
East Allegheny,Harassment
East Hills,Marijuana possession
South Side Flats,Alcohol consumption in public
Brighton Heights,Obstructing passage
Squirrel Hill South,Unreasonable Noise Disorderly Conduct
South Side Flats,Public urination/defecation
Central North Side,Harassment
North Oakland,Unreasonable Noise Disorderly Conduct
East Allegheny,Obstructing passage
Strip District,Marijuana possession
South Side Slopes,Marijuana possession
,Public drunkenness
Central Business District,Littering
Mount Washington,Marijuana possession
South Side Flats,Fighting disorderly conduct
Strip District,Disorderly conduct (unreasonable noise)
South Side Flats,Disorderly conduct
East Allegheny,Theft of Services
South Side Flats,Disorderly Conduct
Central North Side,Disorderly Conduct - Unreasonable Noise
North Oakland,Disorderly Conduct (Unreasonable Noise)
Bloomfield,Marijuana possession
South Side Flats,Defiant Trespass
South Side Flats,Indecent public act
Central Business District,Fighting disorderly conduct
South Side Flats,Trespassing defecation/urination
Arlington Heights,Harassment by Contact
Central Business District,Disorderly conduct
Squirrel Hill South,Marijuana possession
South Side Flats,Public urination/defecation
Mount Washington,Marijuana possession
Central Business District,Criminal Trespass
South Side Flats,Public urination/defecation
Sheraden,Fighting in disorderly conduct
,Disorderly conduct
Sheraden,Fighting in disorderly conduct
Central Business District,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Alcohol consumption in public
South Side Flats,Public urination/defecation
South Side Flats,Obscene Lang/Gesture Disorderly Conduct
Central Business District,Public drunkenness
South Side Flats,Public urination/defecation
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Interference with official duties
South Side Flats,Indecent public act
Homewood South,Marijuana possession
Squirrel Hill South,Marijuana possession
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Fighting in disorderly conduct
South Side Flats,Disorderly Conduct
Allentown,Public drunkenness
Bluff,Public drunkenness
Central Business District,Fighting in disorderly conduct
Sheraden,Marijuana possession
South Side Flats,Disorderly Conduct
Perry North,Criminal Mischief
Central Business District,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Indecent public urination/defecation
Carrick,Harassment by contact
East Allegheny,Criminal Trespass
Mount Washington,Public drunkenness
Perry North,Criminal Mischief
Central Oakland,False ID for liquor
South Side Flats,Disorderly Conduct - Unreasonable Noise
North Oakland,Alcohol consumption in public
South Side Flats,Disorderly Conduct - Unreasonable Noise
South Side Flats,Public urination/defecation
Squirrel Hill North,Underage liquor offense
Brookline,Disorderly Conduct
East Allegheny,Retail Theft
South Side Flats,Underage liquor offense
Perry North,Criminal Mischief
Middle Hill,Marijuana possession
Carrick,Public drunkenness
Central Oakland,Underage liquor
Homewood South,Fighting disorderly conduct
Central Business District,Fighting in disorderly conduct
Beechview,Harassment
,Disorderly Conduct
South Side Flats,Public drunkenness
Central Business District,Indecent public act
South Side Flats,Public urination/defecation
South Side Flats,Disorderly conduct - unreasonable noise
East Allegheny,Obstructing passage
East Allegheny,Criminal Trespass
Point Breeze North,Actual Communication
Central Business District,Public drunkenness
Homewood South,Fighting disorderly conduct
Bon Air,Panhandling
Crawford-Roberts,Scattering rubbish
Central Business District,Public urination/defecation
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Marijuana possession
South Side Flats,Fighting (disorderly conduct)
South Side Flats,Marijuana possession
Central Oakland,Disorderly conduct - unreasonable noise
West End,Harassment
South Side Flats,Public urination/defecation
South Side Flats,Unreasonable Noise Disorderly Conduct
Arlington,Fighting disorderly conduct
Central Oakland,Disorderly conduct (noise)
Arlington,Fighting (Disorderly Conduct)
Sheraden,Cruelty to animals
South Side Flats,Disorderly Conduct
Squirrel Hill South,Marijuana possession
South Side Flats,Public urination/defecation
Arlington,Harassment
South Side Flats,Alcohol on streets/sidewalks
South Side Flats,Disorderly Conduct (Unreasonable Noise)
Sheraden,Animal neglect
Allegheny West,Disorderly Conduct (Unreasonable Noise)
Arlington,Fighting (disorderly conduct)
Larimer,Marijuana possession
Crawford-Roberts,Scattering rubbish
South Side Flats,Fighting in disorderly conduct
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Central North Side,Marijuana possession
Arlington,Harassment
Central Business District,Public drunkenness
Beechview,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Larimer,Dog license requirement
Sheraden,Cruelty to animals
Middle Hill,Harassment
East Liberty,Actual Communication
South Side Flats,Public urination/defecation
Spring Hill-City View,Actual Communication
South Side Flats,Public drunkenness
Central Business District,Public urination/defecation
Arlington,Harassment
Sheraden,Animal neglect
Beltzhoover,Animal neglect
Shadyside,Public drunkenness
Larimer,Animal neglect
North Shore,Actual Communication
Crafton Heights,Harassment
Larimer,Dog tethering
Middle Hill,Harassment
East Liberty,Marijuana possession
Central Business District,Public drunkenness
East Liberty,Public drunkenness
Knoxville,Public drunkenness
South Side Flats,Indecent public act
South Side Flats,Public urination/defecation
Shadyside,Disorderly Conduct
Central Business District,Indecent public excretion
Mount Washington,Criminal Mischief
Squirrel Hill North,Disorderly Conduct (Unreasonable Noise)
Larimer,Cruelty to animals
South Side Flats,Public drunkenness
Squirrel Hill South,Marijuana possession
Lincoln-Lemington-Belmar,Marijuana possession
Garfield,Marijuana possession
Central Business District,Public drunkenness
Larimer,Rabies vaccination
West End,Marijuana possession
Squirrel Hill South,Marijuana possession
Squirrel Hill South,Marijuana possession
Bedford Dwellings,Harassment
South Side Flats,Obstructing passage
Squirrel Hill South,Marijuana possession
Beltzhoover,Animal neglect
Middle Hill,Harassment
Central Business District,Public drunkenness
Bluff,Criminal Trespass
,Harassment
Central Business District,Public drunkenness
East Allegheny,Retail Theft
Beltzhoover,Animal neglect
Central Business District,Public drunkenness
Larimer,Theft of Services
West End,Marijuana possession
Shadyside,Harassment
Homewood South,Harassment
Beltzhoover,Animal neglect
East Liberty,Harassment
Central Business District,Marijuana possession
South Side Flats,Public drunkenness
Strip District,Marijuana possession
Allegheny Center,Marijuana possession
Spring Hill-City View,Marijuana possession
Central Business District,Public drunkenness
Squirrel Hill South,Marijuana possession
Central Business District,Public drunkenness
South Side Flats,Public drunkenness
Carrick,Indecent public act
Friendship,Marijuana possession
Squirrel Hill South,Marijuana possession
Garfield,Criminal Trespass
Bluff,Public drunkenness
Northview Heights,Obstructing passage
South Side Flats,Public drunkenness
South Side Flats,Public drunkenness
Central Business District,Public marijuana smoking
Central Business District,Public drunkenness
East Allegheny,Obstructing passage
Sheraden,Harassment
Central Business District,Public drunkenness
Squirrel Hill North,Unreasonable noise disorderly conduct
South Side Flats,Public drunkenness
Garfield,Criminal Trespass
East Allegheny,Obstructing passage
South Side Flats,Underage liquor
California-Kirkbride,Fighting (Disorderly Conduct)
East Allegheny,Alcohol consumption in public
South Oakland,Retail Theft
Chateau,Littering
Crawford-Roberts,Harassment
Larimer,Improper dog tethering
West Oakland,Disorderly conduct (unreasonable noise)
East Liberty,Fighting (Disorderly Conduct)
Larimer,Animal neglect
Mount Washington,Harassment
Shadyside,Actual Communication
South Side Flats,Fighting (Disorderly Conduct)
California-Kirkbride,Fighting (Disorderly Conduct)
Beltzhoover,Animal neglect
Central Business District,Marijuana possession
Mount Washington,Criminal Trespass
Garfield,Criminal Trespass
Central Business District,Public drunkenness
Central Business District,Harassment
Carrick,Criminal mischief - prop damage by dangerous means
Shadyside,Criminal Mischief
Sheraden,Harassment
West Oakland,Disorderly Conduct - Unreasonable Noise
South Side Flats,Fighting (Disorderly Conduct)
East Liberty,Obscene lang/gest disorderly conduct
Sheraden,Harassment
Brookline,Harassment
Garfield,Criminal Trespass
Crawford-Roberts,Public urination/defecation
Greenfield,Marijuana possession
Crawford-Roberts,Harassment
Homewood South,Marijuana possession
Carrick,Public drunkenness
Central Business District,Public drunkenness
South Side Flats,Public urination/defecation
Central Business District,Open Container
